producto , categoria , precio , unidades , total , fecha
 Laptop Pro , Electronica , 1200.00 , 5 , 6000.00 , 2024-01-15
Monitor 4K , Electronica , 450.00 , 12 , 5400.00 , 2024-01-16
Teclado Mecanico , Accesorios , 85.50 , 30 , 2565.00 , 2024-01-17
Mouse Inalambrico , Accesorios , 45.00 , 45 , 2025.00 , 2024-01-18
Auriculares BT , Audio , 95.00 , 20 , 1900.00 , 2024-01-19
Camara Web HD , Electronica , 75.00 , 15 , 1125.00 , 2024-01-20
 Hub USB-C , Accesorios , 35.00 , 50 , 1750.00 , 2024-01-21
Disco SSD 1TB , Almacenamiento , 110.00 , 8 , 880.00 , 2024-01-22
Memoria RAM 16GB , Componentes , 65.00 , 10 , 650.00 , 2024-01-23
 Cable HDMI 2m , Accesorios , 12.00 , 60 , 720.00 , 2024-01-24
